id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
4768,"aggressive (Assertive, Forceful)",adjective,b2,nan,दृढ़ / ज़ोरदार / प्रभावी,मुस्तैद / ज़ोरदार / पुरज़ोर / जुर्रत-मंद,dr̥ṛh / zōradār / prabhāvī,mustaid / zōradār / purazōr / jurrat-maṁd
4769,aggressive (Hostile),adjective,b2,nan,आक्रामक / हमलावर / उग्र,आक्रामक / हमलावर / तशद्दुद-पसंद / मुतशद्दिद,ākrāmak / hamalāvar / ugr,ākrāmak / hamalāvar / taśaddud-pasaṁd / mutaśaddid
4770,agriculture,noun,b2,nan,खेती (f) / कृषि (f),ज़िराअत (f) / खेती (f),khētī (f) / kr̥ṣi (f),zirāat (f) / khētī (f)
4771,aid (device or tool),noun,b2,nan,मदद (f) / सहायता (f) / उपकरण (m),मदद (f) / मुआविन (m) / आला (m),madad (f) / sahāyatā (f) / upakaraṇa (m),madad (f) / muāvin (m) / ālā (m)
4772,aids (disease),noun,b2,nan,एड्स (m),एड्स (m),ēḍs (m),ēḍs (m)
4773,alert (system notification),noun,b2,nan,सूचना (f) / चेतावनी (f) / अलर्ट (m),इत्तिलाअ (f) / मुतंबिह (m) / अलर्ट (m),sūcanā (f) / cētāvanī (f) / alarṭa (m),ittilāa (f) / mutaṁbih (m) / alarṭa (m)
4774,alien (extraterrestrial being),noun,b2,nan,एलियन (m) / परग्रही (m) / अंतरिक्ष-वासी (m),एलियन (m) / परग्रही (m) / ख़ला-ई मख़लूक़ (f),ēliyan (m) / paragrahī (m) / aṁtarikṣa-vāsī (m),ēliyan (m) / paragrahī (m) / k͟halā-ī mak͟halūq (f)
4775,alien (foreign national),noun,b2,nan,विदेशी (m) / परदेसी (m) / अन्यदेशीय (m),विदेशी (m) / अजनबी (m) / ग़ैर-मुल्की (m),vidēśī (m) / paradēsī (m) / anyadēśīy (m),vidēśī (m) / ajanabī (m) / ġair-mulkī (m)
4776,"alive (lively, vibrant)",adjective,b2,nan,ज़िंदा / जीवंत / सजीव,ज़िंदा / सरगर्म / पुरजोश,ziṁdā / jīvaṁt / sajīv,ziṁdā / saragarm / purajōśa
4777,alongside (in addition to),preposition,b2,nan,के साथ / के अतिरिक्त / के अलावा,के साथ / के अलावा / के इलावा,kē sāth / kē atirikt / kē alāvā,kē sāth / kē alāvā / kē ilāvā
4778,alongside (in collaboration with),preposition,b2,nan,के साथ / के सहयोग से / के मिलकर,के साथ / के तआवुन से / के हमराह,kē sāth / kē sahayōg sē / kē milakar,kē sāth / kē taāvun sē / kē hamarāh
4779,altogether (completely),adverb,b2,nan,पूरी तरह से / बिलकुल / सर्वथा,पूरी तरह से / बिलकुल / सरासर,pūrī tarah sē / bilakul / sarvathā,pūrī tarah sē / bilakul / sarāsar
4780,altogether (overall),adverb,b2,nan,कुल मिलाकर / सब मिलाकर / समग्रतः,कुल मिलाकर / सब मिलाकर / बज़ात-ए-ख़ुद,kul milākar / sab milākar / samagrataḥ,kul milākar / sab milākar / bazāt-ē-k͟hud
4781,ambulance,noun,b2,nan,एम्बुलेंस (f) / रोगी-वाहन (m),एम्बुलेंस (f) / रोगी-वाहन (m),ēmbulēṁs (f) / rōgī-vāhan (m),ēmbulēṁs (f) / rōgī-vāhan (m)
4782,amusing (oddly interesting),adjective,b2,nan,मज़ेदार / मनोरंजक / दिलचस्प,मज़ेदार / दिलचस्प / तफ़रीही,mazēdār / manōraṁjak / dilacasp,mazēdār / dilacasp / tafarīhī
4783,analyst,noun,b2,nan,विश्लेषक (m) / समीक्षक (m),तजज़िया-कार (m) / मुबस्सिर (m),viślēṣak (m) / samīkṣak (m),tajaziyā-kār (m) / mubassir (m)
4784,ancestor,noun,b2,nan,पूर्वज (m) / पुरखा (m),पूर्वज (m) / आबा-ओ-अजदाद (m) / बुज़ुर्ग (m),pūrvaj (m) / purakhā (m),pūrvaj (m) / ābā-ō-ajadād (m) / buzurg (m)
4785,"anger (fit of pique, annoyance)",noun,b2,nan,नाराज़गी (f) / झुंझलाहट (f) / खीझ (f),नाराज़गी (f) / झुंझलाहट (f) / रंजिश (f),nārāzagī (f) / jhuṁjhalāhaṭa (f) / khījh (f),nārāzagī (f) / jhuṁjhalāhaṭa (f) / raṁjiśa (f)
4786,"anger (fury, rage)",noun,b2,nan,गुस्सा (m) / क्रोध (m) / रोष (m),गुस्सा (m) / ग़ुस्सा (m) / क़हर (m),gussā (m) / krōdh (m) / rōṣa (m),gussā (m) / ġussā (m) / qahar (m)
4787,angle (perspective),noun,b2,nan,नज़रिया (m) / दृष्टिकोण (m) / पहलू (m),नज़रिया (m) / ज़ाविया (m) / पहलू (m),nazariyā (m) / dr̥ṣṭikōṇa (m) / pahalū (m),nazariyā (m) / zāviyā (m) / pahalū (m)
4788,"animation (film, cartoon technique)",noun,b2,nan,एनिमेशन (m) / चलचित्रण (m),एनिमेशन (m) / मुतहर्रिक़-कारी (f),ēnimēśan (m) / calacitraṇa (m),ēnimēśan (m) / mutaharriq-kārī (f)
4789,"animation (liveliness, energy)",noun,b2,nan,जानदारपन (m) / सजीवता (f) / उत्साह (m),जानदारपन (m) / सरगर्मी (f) / जोश (m),jānadārapan (m) / sajīvatā (f) / utsāh (m),jānadārapan (m) / saragarmī (f) / jōśa (m)
4790,"anniversary (death, memorial)",noun,b2,nan,बरसी (f) / पुण्यतिथि (f) / स्मृति दिवस (m),बरसी (f) / यौम-ए-वफ़ात (m),barasī (f) / puṇyatithi (f) / smr̥ti divas (m),barasī (f) / yaum-ē-vafāt (m)
4791,annual,adjective,b2,nan,सालाना / वार्षिक,सालाना / हर साल का / वार्षिक,sālānā / vārṣik,sālānā / har sāl kā / vārṣik
4792,"annually (formally, yearly)",adverb,b2,nan,सालाना / प्रतिवर्ष / वार्षिक रूप से,सालाना / हर साल / वार्षिक तौर पर,sālānā / prativarṣa / vārṣik rūp sē,sālānā / har sāl / vārṣik taur par
4793,"anxiety (worry, restlessness)",noun,b2,nan,चिंता (f) / बेचैनी (f) / व्याकुलता (f),बेचैनी (f) / फ़िक्र (f) / इज़्तिराब (m),ciṁtā (f) / bēcainī (f) / vyākulatā (f),bēcainī (f) / fikr (f) / iztirāb (m)
4794,anxious (eagerly wanting),adjective,b2,nan,उत्सुक / बेताब / आतुर,बेताब / मुश्ताक़ / उत्सुक,utsuk / bētāb / ātur,bētāb / muśtāq / utsuk
4795,anxious (impatiently wanting),adjective,b2,nan,बेचैन / अधीर / आतुर,बेचैन / बेताब / अधीर,bēcain / adhīr / ātur,bēcain / bētāb / adhīr
4796,anxious (worried or nervous),adjective,b2,nan,चिंतित / परेशान / बेचैन / घबराया हुआ,परेशान / चिंतित / बेचैन / फ़िक्रमंद,ciṁtit / parēśān / bēcain / ghabarāyā huā,parēśān / ciṁtit / bēcain / fikramaṁd
4797,apology,noun,b2,nan,माफ़ी (f) / क्षमा (f) / खेद (m),माफ़ी (f) / मुआफ़ी (f) / माज़रत (f),māfī (f) / kṣamā (f) / khēd (m),māfī (f) / muāfī (f) / māzarat (f)
4798,apparent (clear),adjective,b2,nan,साफ़ / स्पष्ट / प्रत्यक्ष,साफ़ / वाज़ेह / अयाँ / ज़ाहिर,sāf / spaṣṭa / pratyakṣa,sāf / vāzēh / ayām̐ / zāhir
4799,apparent (seeming),adjective,b2,nan,प्रतीत होने वाला / दिखने वाला / आभासी,ज़ाहिरी / मालूम होने वाला / बज़ाहिर,pratīt hōnē vālā / dikhanē vālā / ābhāsī,zāhirī / mālūm hōnē vālā / bazāhir
4800,"apparently (evidently, clearly visible)",adverb,b2,nan,साफ़ तौर पर / स्पष्ट रूप से / प्रत्यक्षतः,साफ़ ज़ाहिर है / वाज़ेह तौर पर / बज़ाहिर,sāf taur par / spaṣṭa rūp sē / pratyakṣataḥ,sāf zāhir hai / vāzēh taur par / bazāhir
4801,"apparently (from what I hear, understand)",adverb,b2,nan,सुना है कि / मालूम होता है कि / ज़ाहिर है कि,सुना है कि / मालूम होता है कि / बज़ाहिर / गोया कि,sunā hai ki / mālūm hōtā hai ki / zāhir hai ki,sunā hai ki / mālūm hōtā hai ki / bazāhir / gōyā ki
4802,"appeal (attraction, charm)",noun,b2,nan,आकर्षण (m) / लुभावन (m) / मोह (m),कशिश (f) / दिलकशी (f) / जाज़बियत (f),ākarṣaṇa (m) / lubhāvan (m) / mōh (m),kaśiśa (f) / dilakaśī (f) / jāzabiyat (f)
4803,appeal (formal request),noun,b2,nan,अपील (f) / निवेदन (m) / प्रार्थना (f),अपील (f) / दरख़्वास्त (f) / इल्तिजा (f),apīl (f) / nivēdan (m) / prārthanā (f),apīl (f) / darak͟hvāst (f) / iltijā (f)
4804,applicant,noun,b2,nan,आवेदक (m) / प्रार्थी (m) / उम्मीदवार (m),दरख़्वास्तगुज़ार (m) / उम्मीदवार (m) / मुतलाश़ी (m),āvēdak (m) / prārthī (m) / ummīdavār (m),darak͟hvāstaguzār (m) / ummīdavār (m) / mutalāś̈ī (m)
4805,appointment (assignment to a position),noun,b2,nan,नियुक्ति (f) / पदस्थापन (m) / तैनाती (f),तकर्रुरी (f) / ओहदा (m) / मंसब (m),niyukti (f) / padasthāpan (m) / tainātī (f),takarrurī (f) / ōhadā (m) / maṁsab (m)
4806,appreciation (gratitude),noun,b2,nan,आभार (m) / कृतज्ञता (f) / सराहना (f),शुक्रगुज़ारी (f) / एहसानमंदी (f) / क़द्रदानी (f),ābhār (m) / kr̥tajñatā (f) / sarāhanā (f),śukraguzārī (f) / ēhasānamaṁdī (f) / qadradānī (f)
4807,"approach (method, strategy)",noun,b2,nan,तरीक़ा (m) / विधि (f) / पद्धति (f),तरीक़ा (m) / अंदाज़ (m) / नज़रिया (m),tarīqā (m) / vidhi (f) / paddhati (f),tarīqā (m) / aṁdāz (m) / nazariyā (m)
4808,"approach (physical proximity, arrival)",noun,b2,nan,पहुँच (f) / आगमन (m) / निकटता (f),आमद (f) / क़ुर्बत (f) / नज़दीकी (f),pahum̐c (f) / āgaman (m) / nikaṭatā (f),āmad (f) / qurbat (f) / nazadīkī (f)
4809,"approach (proposal, overture)",noun,b2,nan,प्रस्ताव (m) / पेशकश (f) / पहल (f),पेशकश (f) / तज्वीज़ (f) / इब्तिदाई रब्त (m),prastāv (m) / pēśakaśa (f) / pahal (f),pēśakaśa (f) / tajvīz (f) / ibtidāī rabt (m)
4810,appropriate,adjective,b2,nan,मुनासिब / उचित / सही / उपयुक्त,मुनासिब / मौज़ूँ / दुरुस्त / सही,munāsib / ucit / sahī / upayukt,munāsib / mauzūm̐ / durust / sahī
4811,appropriately (in accordance with requirements),adverb,b2,nan,आवश्यकतानुसार / नियमानुसार / उचित रूप से,ज़रूरत के मुताबिक़ / मुतालबा के मुताबिक़ / मुनासिब तरीक़े से,āvaśyakatānusār / niyamānusār / ucit rūp sē,zarūrat kē mutābiq / mutālabā kē mutābiq / munāsib tarīqē sē
4812,appropriately (suitably or worthily),adverb,b2,nan,उपयुक्त रूप से / सही ढंग से / योग्यतानुसार,मुनासिब तरीक़े से / शाइस्तगी से / ब-हक़,upayukt rūp sē / sahī ḍhaṁg sē / yōgyatānusār,munāsib tarīqē sē / śāistagī sē / b-haq
4813,"approval (consent, permission)",noun,b2,nan,इजाज़त (f) / अनुमति (f) / सहमति (f),इजाज़त (f) / मंज़ूरी (f) / रज़ामंदी (f),ijāzat (f) / anumati (f) / sahamati (f),ijāzat (f) / maṁzūrī (f) / razāmaṁdī (f)
4814,approval (official sanction),noun,b2,nan,मंज़ूरी (f) / स्वीकृति (f) / अनुमोदन (m),मंज़ूरी (f) / तसदीक़ (f) / इक़रार (m),maṁzūrī (f) / svīkr̥ti (f) / anumōdan (m),maṁzūrī (f) / tasadīq (f) / iqarār (m)
4815,armed (with information or facts),adjective,b2,nan,जानकारी से लैस / तथ्यों से लैस / सुसज्जित,मालूमात से लैस / हक़ायक़ से लैस / मुसल्लह,jānakārī sē lais / tathyōṁ sē lais / susajjit,mālūmāt sē lais / haqāyaq sē lais / musallah
4816,armored vehicle,noun,b2,nan,बख्तरबंद गाड़ी (f) / बख्तरबंद वाहन (m),बख़्तरबंद गाड़ी (f) / मुसल्लह गाड़ी (f) / ज़िरहबख़्तर गाड़ी (f),bakhtarabaṁd gāṛī (f) / bakhtarabaṁd vāhan (m),bak͟htarabaṁd gāṛī (f) / musallah gāṛī (f) / zirahabak͟htar gāṛī (f)
4817,arms (body parts),noun,b2,nan,बाज़ू (m) / भुजा (f),बाज़ू (m) / शाना (m),bāzū (m) / bhujā (f),bāzū (m) / śānā (m)
4818,arms (weapons),noun,b2,nan,हथियार (m) / शस्त्र (m) / आयुध (m),हथियार (m) / अस्लहा (m) / सिलाह (m),hathiyār (m) / śastr (m) / āyudh (m),hathiyār (m) / aslahā (m) / silāh (m)
