id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
4543,institutional (relating to rigidity or confinement),adjective,c1,N/A,ಸಂಸ್ಥಾತ್ಮಕ / ಸಾಂಸ್ಥಿಕ,saṁsthātmaka / sāṁsthika
4544,to instruct (to teach or guide),verb,c1,transitive,ಬೋಧಿಸು / ಕಲಿಸು / ಮಾರ್ಗದರ್ಶನ ನೀಡು,bōdhisu / kalisu / mārgadarśana nīḍu
4545,to instruct (to order or command),verb,c1,transitive,ನಿರ್ದೇಶಿಸು / ಆದೇಶಿಸು,nirdēśisu / ādēśisu
4546,"instruction (order, guidance)",noun,a2,N/A,ಸೂಚನೆ / ನಿರ್ದೇಶನ / ಆದೇಶ,sūcane / nirdēśana / ādēśa
4547,"instruction (teaching, education)",noun,a2,N/A,ಬೋಧನೆ / ಶಿಕ್ಷಣ,bōdhane / śikṣaṇa
4548,"instructor (vocational skills, trainer)",noun,a2,N/A,ತರಬೇತುದಾರ / ಬೋಧಕ / ಶಿಕ್ಷಕ,tarabētudāra / bōdhaka / śikṣaka
4549,"instrument (tool, device)",noun,a2,N/A,ಉಪಕರಣ / ಸಾಧನ,upakaraṇa / sādhana
4550,instrument (musical),noun,a2,N/A,ವಾದ್ಯ / ಸಂಗೀತೋಪಕರಣ,vādya / saṁgītōpakaraṇa
4551,"instrumental (crucial, key)",adjective,c1,N/A,ಪ್ರಮುಖ / ನಿರ್ಣಾಯಕ / ಅತ್ಯಾವಶ್ಯಕ,pramukha / nirṇāyaka / atyāvaśyaka
4552,instrumental (musical),adjective,c1,N/A,ವಾದ್ಯ ಸಂಗೀತದ / ವಾದ್ಯಮಯ,vādya saṁgītada / vādyamaya
4553,"insufficient (in quantity, not enough)",adjective,b2,N/A,ಸಾಲದ / ಸಾಕಾಗದ,sālada / sākāgada
4554,"insufficient (deficient, formal)",adjective,c1,N/A,ಅಸಮರ್ಪಕ / ಕೊರತೆಯಿರುವ,asamarpaka / korateyiruva
4555,insult (verbal slight),noun,b2,N/A,ನಿಂದನೆ / ಅಪಮಾನ / ತಿರಸ್ಕಾರ,niṁdane / apamāna / tiraskāra
4556,"insult (dishonor, humiliation)",noun,c1,N/A,ಅವಮಾನ / ಮಾನಭಂಗ,avamāna / mānabhaṁga
4557,"to insult (dignity, severe)",verb,c1,transitive,ಅವಮಾನ ಮಾಡು / ಮಾನಭಂಗ ಮಾಡು,avamāna māḍu / mānabhaṁga māḍu
4558,"to insult (verbally abuse, scold harshly)",verb,c1,transitive,ಬೈ / ತಿಟ್ಟು / ನಿಂದಿಸು,bai / tiṭṭu / niṁdisu
4559,insurance,noun,b2,N/A,ವಿಮೆ,vime
4560,intact (undamaged),adjective,c1,N/A,ಹಾನಿಯಾಗದ / ಕ್ಷತಿರಹಿತ,hāniyāgada / kṣatirahita
4561,intact (complete),adjective,c1,N/A,ಅಖಂಡವಾಗಿರುವ / ಪೂರ್ಣವಾಗಿರುವ,akhaṁḍavāgiruva / pūrṇavāgiruva
4562,intake (consumption quantity),noun,c1,N/A,ಸೇವನೆ / ಗ್ರಹಿಕೆ,sēvane / grahike
4563,intake (number of people admitted),noun,c1,N/A,ಸೇರ್ಪಡೆ / ದಾಖಲಾತಿ / ಪ್ರವೇಶ,sērpaḍe / dākhalāti / pravēśa
4564,integral (mathematical),adjective,c1,N/A,ಅನುಕಲನದ,anukalanada
4565,to integrate (systems or components),verb,b2,transitive,ಸಂಯೋಜಿಸು / ಒಗ್ಗೂಡಿಸು,saṁyōjisu / oggūḍisu
4566,to integrate (socially),verb,b2,transitive,ವಿಲೀನಗೊಳಿಸು / ಸಮ್ಮಿಲನಗೊಳಿಸು / ಒಂದಾಗಿಸು,vilīnagoḷisu / sammilanagoḷisu / oṁdāgisu
4567,integrated (combined into a system),adjective,c1,N/A,ಸಂಯೋಜಿತ / ಒಗ್ಗೂಡಿಸಿದ,saṁyōjita / oggūḍisida
4568,"integrated (socially, not segregated)",adjective,c1,N/A,ವಿಲೀನಗೊಂಡ / ಸಮ್ಮಿಲನಗೊಂಡ / ಒಂದಾದ,vilīnagoṁḍa / sammilanagoṁḍa / oṁdāda
4569,integration (social inclusion),noun,c1,N/A,ಸಮ್ಮಿಲನ / ಒಗ್ಗೂಡಿಸುವಿಕೆ / ಸೇರ್ಪಡೆ,sammilana / oggūḍisuvike / sērpaḍe
4570,integration (systems combination),noun,c1,N/A,ಏಕೀಕರಣ / ಸಂಯೋಜನೆ,ēkīkaraṇa / saṁyōjane
4571,integrity (moral character),noun,c1,N/A,ಸತ್ಯಸಂಧತೆ / ಪ್ರಾಮಾಣಿಕತೆ,satyasaṁdhate / prāmāṇikate
4572,integrity (soundness or completeness),noun,c1,N/A,ಸಮಗ್ರತೆ / ಪೂರ್ಣತೆ,samagrate / pūrṇate
4573,intellectual,adjective,b2,N/A,ಬೌದ್ಧಿಕ / ಜ್ಞಾನಸಂಬಂಧಿ,bauddhika / jñānasaṁbaṁdhi
4574,intellectual (person),noun,c1,N/A,ಬುದ್ಧಿಜೀವಿ / ಜ್ಞಾನಿ,buddhijīvi / jñāni
4575,intelligence (secret information),noun,b2,N/A,ಗುಪ್ತಚರ ಮಾಹಿತಿ / ರಹಸ್ಯ ಮಾಹಿತಿ,guptacara māhiti / rahasya māhiti
4576,"intelligence (agency, activity)",noun,b2,N/A,ಬೇಹುಗಾರಿಕೆ / ಗುಪ್ತಚರ ಕಾರ್ಯ,bēhugārike / guptacara kārya
4577,intelligent,adjective,a2,N/A,ಬುದ್ಧಿವಂತ / ಚುರುಕು,buddhivaṁta / curuku
4578,"to intend (to resolve, determine)",verb,b2,transitive,ಉದ್ದೇಶಿಸು / ನಿರ್ಧರಿಸು,uddēśisu / nirdharisu
4579,"intended (goal, purpose)",adjective,b2,N/A,ಉದ್ದೇಶಿತ / ನಿರೀಕ್ಷಿತ,uddēśita / nirīkṣita
4580,"intended (fiancé, fiancée)",adjective,b2,N/A,ನಿಶ್ಚಿತಾರ್ಥದವರು / ಮದುವೆಯಾಗಲಿರುವವರು,niścitārthadavaru / maduveyāgaliruvavaru
4581,"intended (future spouse, specific)",adjective,b2,N/A,ಭಾವೀ ಪತಿ / ಪತ್ನಿ,bhāvī pati / patni
4582,"intense (strong, severe)",adjective,b2,N/A,ತೀವ್ರ / ಪ್ರಬಲ,tīvra / prabala
4583,"intense (deep, concentrated)",adjective,b2,N/A,ಗಾಢ / ಆಳವಾದ,gāḍha / āḷavāda
4584,to intensify (to become stronger),verb,c1,intransitive,ತೀವ್ರಗೊಳ್ಳು / ಹೆಚ್ಚಾಗು / ಬಲಗೊಳ್ಳು,tīvragoḷḷu / heccāgu / balagoḷḷu
4585,to intensify (to make stronger),verb,c1,transitive,ತೀವ್ರಗೊಳಿಸು / ಹೆಚ್ಚಿಸು / ಬಲಪಡಿಸು,tīvragoḷisu / heccisu / balapaḍisu
4586,intensity (emotional depth),noun,c1,N/A,ತೀವ್ರತೆ / ಪ್ರಬಲತೆ,tīvrate / prabalate
4587,intensity (deep focus or feeling),noun,c1,N/A,ಗಾಢತೆ / ಆಳ,gāḍhate / āḷa
4588,intensive (concentrated),adjective,c1,N/A,ತೀವ್ರವಾದ / ಸಾಂದ್ರೀಕರಿಸಿದ / ಗಾಢವಾದ,tīvravāda / sāṁdrīkarisida / gāḍhavāda
4589,"intensive (thorough, rigorous)",adjective,c1,N/A,ತೀವ್ರವಾದ / ಸವಿವರವಾದ / ಸಮಗ್ರವಾದ,tīvravāda / savivaravāda / samagravāda
4590,intent (criminal purpose),noun,c1,N/A,ದುರುದ್ದೇಶ / ಅಪರಾಧದ ಉದ್ದೇಶ / ಕೆಟ್ಟ ಉದ್ದೇಶ,duruddēśa / aparādhada uddēśa / keṭṭa uddēśa
4591,intention (firm resolve),noun,b1,N/A,ಉದ್ದೇಶ / ನಿರ್ಧಾರ / ಸಂಕಲ್ಪ,uddēśa / nirdhāra / saṁkalpa
4592,to interact (socially or verbally),verb,b2,intransitive,ಸಂವಾದಿಸು / ವ್ಯವಹರಿಸು / ಮಾತನಾಡು,saṁvādisu / vyavaharisu / mātanāḍu
4593,to interact (physically or systemically),verb,b2,intransitive,ಪ್ರತಿಕ್ರಿಯಿಸು / ಪರಸ್ಪರ ವರ್ತಿಸು,pratikriyisu / paraspara vartisu
4594,to interact (mutually influence),verb,b2,intransitive,ಪರಸ್ಪರ ಪ್ರಭಾವ ಬೀರು / ಪರಸ್ಪರ ಪರಿಣಾಮ ಬೀರು,paraspara prabhāva bīru / paraspara pariṇāma bīru
4595,interaction (social communication),noun,b2,N/A,ಸಂವಾದ / ಪರಸ್ಪರ ಮಾತುಕತೆ / ವ್ಯವಹಾರ,saṁvāda / paraspara mātukate / vyavahāra
4596,"interaction (mutual influence, technical)",noun,b2,N/A,ಪರಸ್ಪರ ಕ್ರಿಯೆ / ಪರಸ್ಪರ ಪ್ರಭಾವ,paraspara kriye / paraspara prabhāva
4597,interactive (digital systems),adjective,c1,N/A,ಸಂವಾದಾತ್ಮಕ / ಪರಸ್ಪರ ಕ್ರಿಯಾತ್ಮಕ,saṁvādātmaka / paraspara kriyātmaka
4598,"interactive (social, participatory)",adjective,c1,N/A,ಸಂವಾದಾತ್ಮಕ / ಭಾಗವಹಿಸುವ / ಪರಸ್ಪರ ಸಹಭಾಗಿತ್ವದ,saṁvādātmaka / bhāgavahisuva / paraspara sahabhāgitvada
4599,interest (curiosity),noun,a1,N/A,ಆಸಕ್ತಿ / ಕುತೂಹಲ,āsakti / kutūhala
4600,"interest (finance, banking)",noun,a1,N/A,ಬಡ್ಡಿ,baḍḍi
4601,to interest,verb,a1,transitive,ಆಸಕ್ತಿ ಮೂಡಿಸು / ಮನಸೆಳೆ / ಗಮನ ಸೆಳೆ,āsakti mūḍisu / manaseḷe / gamana seḷe
4602,"interested (curious, engaged)",adjective,a1,N/A,ಆಸಕ್ತ / ಆಸಕ್ತಿಯುಳ್ಳ,āsakta / āsaktiyuḷḷa
4603,"interested (vested interest, involved party)",adjective,b1,N/A,ಸಂಬಂಧಪಟ್ಟ / ಸಂಬಂಧಿತ / ಭಾಗಿಯಾಗಿರುವ,saṁbaṁdhapaṭṭa / saṁbaṁdhita / bhāgiyāgiruva
4604,interested (having a stake),adjective,b1,N/A,ಪಾಲುದಾರಿಕೆ ಇರುವ / ಪಾಲನ್ನು ಹೊಂದಿರುವ / ಹಿತಾಸಕ್ತಿ ಇರುವ,pāludārike iruva / pālannu hoṁdiruva / hitāsakti iruva
4605,interesting,adjective,a1,N/A,ಆಸಕ್ತಿದಾಯಕ / ಕುತೂಹಲಕಾರಿ / ಗಮನ ಸೆಳೆಯುವ,āsaktidāyaka / kutūhalakāri / gamana seḷeyuva
4606,interface,noun,c1,N/A,ಅಂತರ್ಮುಖ / ಇಂಟರ್ಫೇಸ್ / ಸಂಪರ್ಕಸಾಧನ,aṁtarmukha / iṁṭarphēs / saṁparkasādhana
4607,to interfere (to meddle or intervene unwelcome),verb,c1,intransitive,ಹಸ್ತಕ್ಷೇಪ ಮಾಡು / ತಲೆಹಾಕು / ಮಧ್ಯಪ್ರವೇಶಿಸು,hastakṣēpa māḍu / talehāku / madhyapravēśisu
4608,to interfere (to obstruct or hinder a process),verb,c1,transitive,ಅಡ್ಡಿಪಡಿಸು / ತಡೆಹಿಡಿ / ವಿಘ್ನಪಡಿಸು,aḍḍipaḍisu / taḍehiḍi / vighnapaḍisu
4609,"interference (signal, waves)",noun,c1,N/A,ವ್ಯತಿಕರಣ / ಅಡಚಣೆ,vyatikaraṇa / aḍacaṇe
4610,interim,adjective,c1,N/A,ಮಧ್ಯಂತರ / ಹಂಗಾಮಿ / ತಾತ್ಕಾಲಿಕ,madhyaṁtara / haṁgāmi / tātkālika
4611,interior (remote location),adjective,c1,N/A,ಒಳನಾಡಿನ / ಒಳಗಿನ,oḷanāḍina / oḷagina
4612,interior (home affairs),adjective,c1,N/A,ಆಂತರಿಕ / ಒಳಗಿನ,āṁtarika / oḷagina
4613,interior (remote region),noun,c1,N/A,ಒಳನಾಡು / ಒಳಗಿನ ಪ್ರದೇಶ,oḷanāḍu / oḷagina pradēśa
4614,intermediate (acting as a medium or link),adjective,c1,N/A,ಮಧ್ಯವರ್ತಿ / ಮಧ್ಯಸ್ಥ / ಮಧ್ಯಮ,madhyavarti / madhyastha / madhyama
4615,internal,adjective,b2,N/A,ಆಂತರಿಕ / ಒಳಗಿನ / ಅಂತರ್ಗತ,āṁtarika / oḷagina / aṁtargata
4616,international,adjective,a2,N/A,ಅಂತರರಾಷ್ಟ್ರೀಯ / ಜಾಗತಿಕ,aṁtararāṣṭrīya / jāgatika
4617,internet,noun,a1,N/A,ಇಂಟರ್ನೆಟ್ / ಅಂತರ್ಜಾಲ,iṁṭarneṭ / aṁtarjāla
4618,to interpret (explain meaning),verb,b2,transitive,ಅರ್ಥೈಸು / ವಿವರಿಸು / ತಿಳಿಸು,arthaisu / vivarisu / tiḷisu
4619,to interpret (translate orally),verb,b2,transitive,ಭಾಷಾಂತರಿಸು / ಅನುವಾದಿಸು,bhāṣāṁtarisu / anuvādisu
4620,legal,adjective,b1,N/A,ಕಾನೂನುಬದ್ಧ / ನ್ಯಾಯಸಮ್ಮತ / ಧರ್ಮಸಮ್ಮತ,kānūnubaddha / nyāyasammata / dharmasammata
4621,legend (story),noun,b2,N/A,ದಂತಕಥೆ / ಪುರಾಣ / ಐತಿಹ್ಯ,daṁtakathe / purāṇa / aitihya
4622,legend (famous person),noun,b2,N/A,ದಿಗ್ಗಜ / ಮಹಾನ್ ವ್ಯಕ್ತಿ / ಖ್ಯಾತನಾಮ,diggaja / mahān vyakti / khyātanāma
4623,legend (map key),noun,b2,N/A,ಸೂಚಿ / ವಿವರಣೆ,sūci / vivaraṇe
4624,legendary (relating to a myth or legend),adjective,c1,N/A,ಪೌರಾಣಿಕ / ದಂತಕಥೆಯ / ಐತಿಹಾಸಿಕ,paurāṇika / daṁtakatheya / aitihāsika
4625,legendary (extremely famous or renowned),adjective,c1,N/A,ಪ್ರಖ್ಯಾತ / ಅದ್ಭುತ / ಖ್ಯಾತ / ಮಹಾನ್,prakhyāta / adbhuta / khyāta / mahān
4626,legislation (the process of lawmaking),noun,c1,N/A,ಶಾಸನ ರಚನೆ / ಕಾನೂನು ರಚನೆ,śāsana racane / kānūnu racane
4627,legislation (the body of laws enacted),noun,c1,N/A,ಶಾಸನ / ಕಾಯಿದೆಗಳು / ಕಾನೂನುಗಳು,śāsana / kāyidegaḷu / kānūnugaḷu
4628,legislative,adjective,c1,N/A,ಶಾಸಕಾಂಗದ / ಕಾನೂನು ರಚನೆಯ,śāsakāṁgada / kānūnu racaneya
4629,legislature,noun,c1,N/A,ಶಾಸಕಾಂಗ / ವಿಧಾನಮಂಡಲ,śāsakāṁga / vidhānamaṁḍala
4630,"legitimate (lawful, conforming to rules)",adjective,c1,N/A,ಕಾನೂನುಬದ್ಧ / ನ್ಯಾಯಸಮ್ಮತ / ಧರ್ಮಸಮ್ಮತ,kānūnubaddha / nyāyasammata / dharmasammata
4631,"legitimate (justifiable, reasonable)",adjective,c1,N/A,ಸಮರ್ಥನೀಯ / ಯುಕ್ತ / ಸರಿಯಾದ / ತಾರ್ಕಿಕ,samarthanīya / yukta / sariyāda / tārkika
4632,leisure (free time),noun,b1,N/A,ಬಿಡುವು / ವಿರಾಮದ ಸಮಯ / ಖಾಲಿ ಸಮಯ,biḍuvu / virāmada samaya / khāli samaya
4633,"leisure (comfort, ease)",noun,b1,N/A,ನಿರಾಳತೆ / ಆರಾಮ / ಸುಖ,nirāḷate / ārāma / sukha
4634,lemon,noun,a2,N/A,ನಿಂಬೆಹಣ್ಣು / ಲಿಂಬೆ,niṁbehaṇṇu / liṁbe
4635,"to lend (money, as a loan)",verb,a2,transitive,ಸಾಲ ಕೊಡು / ಸಾಲ ನೀಡು,sāla koḍu / sāla nīḍu
4636,to lend (help or support),verb,a2,transitive,ಸಹಾಯ ಮಾಡು / ನೆರವು ನೀಡು / ಬೆಂಬಲಿಸು,sahāya māḍu / neravu nīḍu / beṁbalisu
4637,length (duration),noun,b1,N/A,ಅವಧಿ / ಕಾಲಾವಧಿ,avadhi / kālāvadhi
4638,lengthy,adjective,c1,N/A,ದೀರ್ಘ / ಉದ್ದವಾದ / ವಿಸ್ತಾರವಾದ,dīrgha / uddavāda / vistāravāda
4639,lens (optical),noun,b2,N/A,ಮಸೂರ / ಲೆನ್ಸ್,masūra / lens
4640,contact lens,noun,b2,N/A,ಕಾಂಟ್ಯಾಕ್ಟ್ ಲೆನ್ಸ್ / ಸ್ಪರ್ಶ ಮಸೂರ,kāṁṭyākṭ lens / sparśa masūra
4641,lesbian,adjective,c1,N/A,ಲೆಸ್ಬಿಯನ್ / ಸಮಲಿಂಗಿ ಮಹಿಳೆ,lesbiyan / samaliṁgi mahiḷe
4642,less,adverb,a2,N/A,ಕಡಿಮೆ / ಕಮ್ಮಿ,kaḍime / kammi
4643,less,determiner,a2,N/A,ಕಡಿಮೆ / ಕಮ್ಮಿ,kaḍime / kammi
4644,less,pronoun,a2,N/A,ಕಡಿಮೆ / ಕಮ್ಮಿ,kaḍime / kammi
4645,lesser,adjective,c1,N/A,ಕಿರಿದಾದ / ಕಡಿಮೆ ಪ್ರಮಾಣದ / ಚಿಕ್ಕದಾದ,kiridāda / kaḍime pramāṇada / cikkadāda
4646,lesson (instructional class period),noun,a1,N/A,ಪಾಠ / ತರಗತಿ,pāṭha / taragati
4647,lesson (moral or learning experience),noun,a1,N/A,ಪಾಠ / ಶಿಕ್ಷಣ / ಕಲಿಕೆ,pāṭha / śikṣaṇa / kalike
4648,"to let (to permit, allow)",verb,a1,transitive,ಬಿಡು / ಅನುಮತಿಸು / ಒಪ್ಪಿಗೆ ನೀಡು,biḍu / anumatisu / oppige nīḍu
4649,to let (to rent property out),verb,a2,transitive,ಬಾಡಿಗೆಗೆ ಕೊಡು / ಬಾಡಿಗೆಗೆ ನೀಡು,bāḍigege koḍu / bāḍigege nīḍu
4700,limb (tree branch),noun,c1,N/A,ಕೊಂಬೆ / ರೆಂಬೆ,koṁbe / reṁbe
4701,"limit (boundary, edge)",noun,b1,N/A,ಗಡಿ / ಅಂಚು / ಮೇರೆ,gaḍi / aṁcu / mēre
4702,"limit (maximum allowance, restriction)",noun,b1,N/A,ಮಿತಿ / ಪರಿಮಿತಿ,miti / parimiti
4703,to limit,verb,b1,transitive,ಮಿತಿಗೊಳಿಸು / ನಿಯಂತ್ರಿಸು / ನಿರ್ಬಂಧಿಸು,mitigoḷisu / niyaṁtrisu / nirbaṁdhisu
4704,limitation (restriction),noun,b2,N/A,ಮಿತಿ / ನಿರ್ಬಂಧ / ಪರಿಮಿತಿ,miti / nirbaṁdha / parimiti
4705,limitation (shortcoming),noun,b2,N/A,ನ್ಯೂನತೆ / ಕೊರತೆ / ದೋಷ,nyūnate / korate / dōṣa
4706,"limited (narrow scope, capacity)",adjective,b2,N/A,ಸೀಮಿತ / ಪರಿಮಿತ / ನಿರ್ಬಂಧಿತ,sīmita / parimita / nirbaṁdhita
4707,line (queue),noun,a1,N/A,ಸಾಲು / ಸರತಿ,sālu / sarati
4708,line (drawn mark),noun,a1,N/A,ಗೆರೆ / ರೇಖೆ,gere / rēkhe
4709,to line (up) (arrange in a line),verb,b2,transitive,ಸಾಲುಮಾಡು / ಸಾಲಾಗಿ ನಿಲ್ಲಿಸು,sālumāḍu / sālāgi nillisu
4709,to line (up) (stand in a line),verb,b2,intransitive,ಸಾಲಾಗಿ ನಿಲ್ಲು / ಸಾಲು ನಿಲ್ಲು,sālāgi nillu / sālu nillu
4710,"to line (a pocket, coat)",verb,b2,transitive,ಅಸ್ತರಿ ಹಾಕು / ಒಳಪದರ ಹಾಕು,astari hāku / oḷapadara hāku
4711,line-up (schedule of performers),noun,c1,N/A,ಕಾರ್ಯಕ್ರಮಗಳ ಪಟ್ಟಿ / ಕಲಾವಿದರ ಪಟ್ಟಿ / ವೇಳಾಪಟ್ಟಿ,kāryakramagaḷa paṭṭi / kalāvidara paṭṭi / vēḷāpaṭṭi
4712,line-up (police identification),noun,c1,N/A,ಗುರುತಿಸುವಿಕೆ ಸಾಲು / ಗುರುತಿನ ಸಾಲು,gurutisuvike sālu / gurutina sālu
4713,linear (mathematical),adjective,c1,N/A,ರೇಖೀಯ / ನೇರ,rēkhīya / nēra
4714,to linger (delaying departure),verb,c1,intransitive,ನಿಧಾನಿಸು / ತಡಮಾಡು / ನಿಲ್ಲು,nidhānisu / taḍamāḍu / nillu
4715,"to linger (persist, remain)",verb,c1,intransitive,ಉಳಿದಿರು / ಮುಂದುವರಿ / ನಿಲ್ಲು,uḷidiru / muṁduvari / nillu
4716,link (connection or relationship),noun,a2,N/A,ಸಂಪರ್ಕ / ಸಂಬಂಧ / ಕೊಂಡಿ,saṁparka / saṁbaṁdha / koṁḍi
4717,link (hyperlink),noun,a2,N/A,ಕೊಂಡಿ / ಲಿಂಕ್,koṁḍi / liṁk
4718,to link (to join or connect items),verb,a2,transitive,ಜೋಡಿಸು / ಸೇರಿಸು / ಸಂಪರ್ಕಿಸು,jōḍisu / sērisu / saṁparkisu
4719,to link (to associate or relate ideas),verb,a2,transitive,ಸಂಬಂಧ ಕಲ್ಪಿಸು / ಹೊಂದಿಸು / ಜೋಡಿಸು,saṁbaṁdha kalpisu / hoṁdisu / jōḍisu
4720,landmark (physical marker),noun,c1,N/A,ಗುರುತು / ಮೈಲಿಗಲ್ಲು / ಹೆಗ್ಗುರುತು,gurutu / mailigallu / heggurutu
4721,"landmark (milestone, significant event)",noun,c1,N/A,ಮೈಲಿಗಲ್ಲು / ಐತಿಹಾಸಿಕ ಘಟನೆ / ಪ್ರಮುಖ ಘಟ್ಟ,mailigallu / aitihāsika ghaṭane / pramukha ghaṭṭa
4722,"landscape (scenery, vista)",noun,b2,N/A,ಭೂ ದೃಶ್ಯ / ಪ್ರಕೃತಿ ಸೌಂದರ್ಯ / ನೋಟ,bhū dr̥śya / prakr̥ti sauṁdarya / nōṭa
4723,"landscape (context, environment)",noun,b2,N/A,ಪರಿಸರ / ಸನ್ನಿವೇಶ / ವಾತಾವರಣ,parisara / sannivēśa / vātāvaraṇa
4724,lane (traffic division or sports track),noun,b2,N/A,ಲೇನ್ / ಪಥ / ಮಾರ್ಗ,lēn / patha / mārga
4725,lane (narrow country road or path),noun,b2,N/A,ಸಂದು / ಕಿರಿದಾದ ರಸ್ತೆ / ದಾರಿ,saṁdu / kiridāda raste / dāri
4726,language,noun,a1,N/A,ಭಾಷೆ / ನುಡಿ,bhāṣe / nuḍi
4727,lap (of a seated person),noun,c1,N/A,ಮಡಿಲು / ತೊಡೆ,maḍilu / toḍe
4728,lap (circuit of a race),noun,c1,N/A,ಸುತ್ತು / ಆವರ್ತ,suttu / āvarta
4729,laptop,noun,a2,N/A,ಲ್ಯಾಪ್ಟಾಪ್,lyāpṭāp
4730,large,adjective,a1,N/A,ದೊಡ್ಡ / ಬೃಹತ್ / ವಿಶಾಲ,doḍḍa / br̥hat / viśāla
4731,large-scale,adjective,c1,N/A,ದೊಡ್ಡ ಪ್ರಮಾಣದ / ಬೃಹತ್ ಪ್ರಮಾಣದ / ವ್ಯಾಪಕ,doḍḍa pramāṇada / br̥hat pramāṇada / vyāpaka
4732,largely,adverb,b2,N/A,ಹೆಚ್ಚಾಗಿ / ಪ್ರಮುಖವಾಗಿ / ಬಹುತೇಕ,heccāgi / pramukhavāgi / bahutēka
4733,laser,noun,c1,N/A,ಲೇಸರ್,lēsar
4734,last (most recently),adverb,a2,N/A,ಕೊನೆಯದಾಗಿ / ಅಂತಿಮವಾಗಿ,koneyadāgi / aṁtimavāgi
4735,last (final),determiner,a1,N/A,ಕೊನೆಯ / ಕಡೆಯ / ಅಂತಿಮ,koneya / kaḍeya / aṁtima
4736,last (previous),determiner,a1,N/A,ಕಳೆದ / ಹಿಂದಿನ,kaḷeda / hiṁdina
4737,last (the end),noun,a2,N/A,ಕೊನೆ / ಕಡೆ / ಅಂತ್ಯ,kone / kaḍe / aṁtya
4738,to last (duration in time),verb,a2,intransitive,ಮುಂದುವರಿ / ಉಳಿದಿರು / ಇರು,muṁduvari / uḷidiru / iru
4739,"to last (to endure, be sufficient)",verb,a2,intransitive,ಬಾಳು / ಸಾಕಾಗು / ನಿಲ್ಲು,bāḷu / sākāgu / nillu
4740,late (deceased),adjective,a1,N/A,ದಿವಂಗತ / ಮೃತ / ನಿಧನರಾದ,divaṁgata / mr̥ta / nidhanarāda
4741,late (adverb),adverb,a1,N/A,ತಡವಾಗಿ / ವಿಳಂಬವಾಗಿ,taḍavāgi / viḷaṁbavāgi
4742,lately (recently),adverb,b2,N/A,ಇತ್ತೀಚೆಗೆ / ಇತ್ತೀಚಿನ ದಿನಗಳಲ್ಲಿ / ಹೊಸದಾಗಿ,ittīcege / ittīcina dinagaḷalli / hosadāgi
4743,"later (shortly, adverb)",adverb,a2,N/A,ಆಮೇಲೆ / ನಂತರ / ಮುಂದೆ,āmēle / naṁtara / muṁde
4744,"later (subsequent, adjective)",adjective,a2,N/A,ನಂತರದ / ಮುಂದಿನ / ಅನಂತರದ,naṁtarada / muṁdina / anaṁtarada
